RegionID,RegionName,City,State,CountyName,SizeRank,Date,value
93314,80238,Denver,CO,Denver,5359,1996-08-01,133300.0
93319,80246,Denver,CO,Denver,5528,1996-08-01,150500.0
93299,80223,Denver,CO,Denver,5869,1996-08-01,84100.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-08-01,53000.0
93218,80030,Westminster,CO,Adams,6779,1996-08-01,101900.0
93312,80236,Denver,CO,Denver,6891,1996-08-01,128200.0
93723,81201,Salida,CO,Chaffee,7547,1996-08-01,100300.0
93577,80863,Woodland Park,CO,Teller,7580,1996-08-01,151500.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-08-01,100600.0
93306,80230,Denver,CO,Denver,8540,1996-08-01,259900.0
93493,80640,Commerce City,CO,Adams,8665,1996-08-01,145900.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-08-01,100700.0
93374,80421,Bailey,CO,Park,8799,1996-08-01,125100.0
93311,80235,Denver,CO,Denver,8995,1996-08-01,177700.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-08-01,216600.0
93551,80816,Florissant,CO,Teller,9542,1996-08-01,66800.0
93234,80102,Bennett,CO,Adams,10639,1996-08-01,126500.0
93265,80136,Strasburg,CO,Adams,10681,1996-08-01,126200.0
93549,80814,Divide,CO,Teller,10965,1996-08-01,104300.0
93396,80446,Granby,CO,Grand,11159,1996-08-01,104000.0
93393,80442,Fraser,CO,Grand,12023,1996-08-01,117800.0
93397,80447,Grand Lake,CO,Grand,12040,1996-08-01,124100.0
93392,80440,Fairplay,CO,Park,12096,1996-08-01,71000.0
93426,80482,Winter Park,CO,Grand,12277,1996-08-01,142500.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-08-01,80800.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-08-01,107100.0
93399,80449,Hartsel,CO,Park,14218,1996-08-01,31800.0
93562,80827,Lake George,CO,Park,14523,1996-08-01,78600.0
93405,80456,Jefferson,CO,Park,14686,1996-08-01,40300.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-08-01,196300.0
93295,80219,Denver,CO,Denver,611,1996-09-01,85600.0
93252,80123,Denver,CO,Denver,753,1996-09-01,163800.0
93305,80229,Thornton,CO,Adams,943,1996-09-01,96400.0
93309,80233,Northglenn,CO,Adams,1106,1996-09-01,112600.0
93296,80220,Denver,CO,Denver,1249,1996-09-01,144800.0
93307,80231,Denver,CO,Denver,1272,1996-09-01,156800.0
93287,80210,Denver,CO,Denver,1326,1996-09-01,155500.0
93288,80211,Denver,CO,Denver,1388,1996-09-01,95000.0
93212,80022,Commerce City,CO,Adams,1681,1996-09-01,103800.0
93211,80021,Westminster,CO,Adams,1761,1996-09-01,132400.0
93282,80205,Denver,CO,Denver,1844,1996-09-01,70700.0
93280,80203,Denver,CO,Denver,1941,1996-09-01,138300.0
93320,80247,Denver,CO,Denver,1948,1996-09-01,140600.0
93281,80204,Denver,CO,Denver,2156,1996-09-01,75800.0
